Device Id	Operator	Recipe
17	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.06392021	0.00195774	21.75261762	0.00183735	0.89308258	1.64090712	78.7809	18.2323	51.598598	53943.727	0.00193866	NaN	NaN	NaN	6.219	17:24:32	01/10/2021

Vmeas	Imeas
1.20000000	-0.00338760
1.17345000	-0.00275684
1.14695000	-0.00204061
1.12040000	-0.00132002
1.09390000	-0.00065405
1.06735000	-0.00006647
1.04080000	0.00044808
1.01430000	0.00090757
0.98775000	0.00125067
0.96120000	0.00152127
0.93470000	0.00169783
0.90815000	0.00180017
0.88165000	0.00185755
0.85510000	0.00188950
0.82855000	0.00190883
0.80205000	0.00191662
0.77550000	0.00192544
0.74900000	0.00193148
0.72245000	0.00193515
0.69590000	0.00193653
0.66940000	0.00193912
0.64285000	0.00194097
0.61635000	0.00194015
0.58980000	0.00194252
0.56325000	0.00194253
0.53675000	0.00194378
0.51020000	0.00194501
0.48365000	0.00194814
0.45715000	0.00194675
0.43060000	0.00194910
0.40410000	0.00194937
0.37755000	0.00195023
0.35100000	0.00195213
0.32450000	0.00195230
0.29795000	0.00195280
0.27145000	0.00195186
0.24490000	0.00195276
0.21835000	0.00195323
0.19185000	0.00195399
0.16530000	0.00195569
0.13880000	0.00195589
0.11225000	0.00195643
0.08570000	0.00195711
0.05920000	0.00195709
0.03265000	0.00195609
0.00610000	0.00195683
-0.02040000	0.00195619
-0.04695000	0.00195790
-0.07345000	0.00195875
-0.10000000	0.00196182
