Device Id	Operator	Recipe
8	Unknown	YE JIAJIU 0.09 cm2.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	1.0000	1	1.2500	-0.2000	75	20	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09549651	0.00191578	23.94725916	0.00176630	0.92034055	1.62559719	77.4562	20.3200	38.851977	58788.682	0.00195534	NaN	NaN	NaN	8.922	20:57:33	11/30/2020

Vmeas	Imeas
1.25000000	-0.00548416
1.23040000	-0.00477166
1.21080000	-0.00398735
1.19120000	-0.00319112
1.17160000	-0.00241782
1.15205000	-0.00169034
1.13245000	-0.00102043
1.11285000	-0.00044666
1.09325000	0.00005782
1.07365000	0.00047305
1.05405000	0.00084178
1.03445000	0.00108871
1.01485000	0.00131387
0.99525000	0.00147452
0.97570000	0.00158878
0.95610000	0.00167041
0.93650000	0.00173120
0.91690000	0.00177243
0.89730000	0.00180239
0.87770000	0.00182481
0.85810000	0.00184014
0.83850000	0.00185272
0.81890000	0.00186068
0.79930000	0.00186955
0.77975000	0.00187405
0.76015000	0.00187915
0.74055000	0.00188208
0.72095000	0.00188607
0.70135000	0.00188816
0.68175000	0.00189280
0.66215000	0.00189386
0.64255000	0.00189765
0.62295000	0.00189736
0.60340000	0.00190025
0.58380000	0.00190039
0.56420000	0.00190223
0.54460000	0.00190201
0.52500000	0.00190420
0.50540000	0.00190569
0.48580000	0.00190621
0.46620000	0.00190702
0.44660000	0.00190794
0.42705000	0.00190757
0.40745000	0.00190738
0.38785000	0.00190964
0.36825000	0.00190925
0.34865000	0.00191036
0.32905000	0.00191021
0.30945000	0.00191113
0.28985000	0.00191002
0.27025000	0.00190989
0.25070000	0.00190866
0.23110000	0.00191151
0.21150000	0.00191184
0.19190000	0.00191284
0.17230000	0.00191353
0.15270000	0.00191351
0.13310000	0.00191334
0.11350000	0.00191529
0.09390000	0.00191369
0.07430000	0.00191543
0.05475000	0.00191576
0.03515000	0.00191645
0.01555000	0.00191621
-0.00405000	0.00191726
-0.02365000	0.00191910
-0.04325000	0.00191842
-0.06285000	0.00191666
-0.08245000	0.00191675
-0.10205000	0.00191514
-0.12160000	0.00191613
-0.14120000	0.00191774
-0.16080000	0.00191850
-0.18040000	0.00191824
-0.20000000	0.00191790
