Device Id	Operator	Recipe
19	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.04135905	0.00204853	22.76144885	0.00191836	0.86340827	1.65633181	77.6434	18.4037	46.588226	59079.284	0.00197538	NaN	NaN	NaN	6.219	17:30:23	01/10/2021

Vmeas	Imeas
1.20000000	-0.00376157
1.17345000	-0.00314467
1.14695000	-0.00246844
1.12040000	-0.00179969
1.09390000	-0.00116328
1.06735000	-0.00055789
1.04080000	0.00001200
1.01430000	0.00052184
0.98775000	0.00097079
0.96120000	0.00131045
0.93470000	0.00157924
0.90815000	0.00175777
0.88165000	0.00186978
0.85510000	0.00193504
0.82855000	0.00197260
0.80205000	0.00199425
0.77550000	0.00200541
0.74900000	0.00201393
0.72245000	0.00201910
0.69590000	0.00202384
0.66940000	0.00202615
0.64285000	0.00202749
0.61635000	0.00202731
0.58980000	0.00203018
0.56325000	0.00203207
0.53675000	0.00203302
0.51020000	0.00203541
0.48365000	0.00203495
0.45715000	0.00203554
0.43060000	0.00203700
0.40410000	0.00203700
0.37755000	0.00203787
0.35100000	0.00203835
0.32450000	0.00204141
0.29795000	0.00204062
0.27145000	0.00204384
0.24490000	0.00204445
0.21835000	0.00204585
0.19185000	0.00204676
0.16530000	0.00204779
0.13880000	0.00204675
0.11225000	0.00204577
0.08570000	0.00204584
0.05920000	0.00204781
0.03265000	0.00205015
0.00610000	0.00204896
-0.02040000	0.00204707
-0.04695000	0.00204776
-0.07345000	0.00204849
-0.10000000	0.00205176
