Device Id	Operator	Recipe
6	Unknown	YE JIAJIU 0.09 cm2.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	1.0000	1	1.2500	-0.2000	75	20	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.10345149	0.00191902	23.98773205	0.00173609	0.92806633	1.61120680	76.0885	20.1401	39.773381	19787.685	0.00195637	NaN	NaN	NaN	8.656	20:55:31	11/30/2020

Vmeas	Imeas
1.25000000	-0.00506845
1.23040000	-0.00441414
1.21080000	-0.00366790
1.19120000	-0.00290088
1.17160000	-0.00214944
1.15205000	-0.00144239
1.13245000	-0.00082026
1.11285000	-0.00023630
1.09325000	0.00025649
1.07365000	0.00065574
1.05405000	0.00097088
1.03445000	0.00117541
1.01485000	0.00137119
0.99525000	0.00150516
0.97570000	0.00160045
0.95610000	0.00166816
0.93650000	0.00171785
0.91690000	0.00175587
0.89730000	0.00178192
0.87770000	0.00180233
0.85810000	0.00181660
0.83850000	0.00182785
0.81890000	0.00183543
0.79930000	0.00184501
0.77975000	0.00185168
0.76015000	0.00185582
0.74055000	0.00186208
0.72095000	0.00186555
0.70135000	0.00186690
0.68175000	0.00187054
0.66215000	0.00187305
0.64255000	0.00187595
0.62295000	0.00187686
0.60340000	0.00187938
0.58380000	0.00188095
0.56420000	0.00188516
0.54460000	0.00188673
0.52500000	0.00188728
0.50540000	0.00188852
0.48580000	0.00189058
0.46620000	0.00189422
0.44660000	0.00189618
0.42705000	0.00189749
0.40745000	0.00189739
0.38785000	0.00189803
0.36825000	0.00189870
0.34865000	0.00189930
0.32905000	0.00190252
0.30945000	0.00190248
0.28985000	0.00190531
0.27025000	0.00190549
0.25070000	0.00190669
0.23110000	0.00190808
0.21150000	0.00190780
0.19190000	0.00190862
0.17230000	0.00191117
0.15270000	0.00191216
0.13310000	0.00191325
0.11350000	0.00191312
0.09390000	0.00191466
0.07430000	0.00191492
0.05475000	0.00191583
0.03515000	0.00191589
0.01555000	0.00191881
-0.00405000	0.00191854
-0.02365000	0.00191967
-0.04325000	0.00191912
-0.06285000	0.00192132
-0.08245000	0.00192170
-0.10205000	0.00192312
-0.12160000	0.00192666
-0.14120000	0.00192680
-0.16080000	0.00192906
-0.18040000	0.00192833
-0.20000000	0.00193009
