Device Id	Operator	Recipe
1	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.10309460	0.00211340	23.48224018	0.00196202	0.93304905	1.83066349	78.5260	20.3407	39.315537	111133.209	0.00218388	NaN	NaN	NaN	9.937	18:17:19	01/10/2021

Vmeas	Imeas
1.20000000	-0.00359908
1.18585000	-0.00295573
1.17170000	-0.00234710
1.15760000	-0.00177768
1.14345000	-0.00124641
1.12930000	-0.00077174
1.11515000	-0.00031327
1.10100000	0.00006738
1.08685000	0.00040572
1.07275000	0.00073334
1.05860000	0.00100701
1.04445000	0.00119727
1.03030000	0.00139428
1.01615000	0.00154861
1.00200000	0.00166730
0.98790000	0.00176155
0.97375000	0.00183436
0.95960000	0.00189013
0.94545000	0.00193199
0.93130000	0.00196428
0.91715000	0.00199068
0.90305000	0.00201226
0.88890000	0.00202603
0.87475000	0.00203944
0.86060000	0.00204784
0.84645000	0.00205689
0.83230000	0.00206391
0.81820000	0.00206851
0.80405000	0.00207435
0.78990000	0.00207770
0.77575000	0.00208018
0.76160000	0.00208293
0.74745000	0.00208503
0.73335000	0.00208606
0.71920000	0.00209005
0.70505000	0.00209245
0.69090000	0.00209465
0.67675000	0.00209729
0.66265000	0.00210040
0.64850000	0.00210014
0.63435000	0.00210056
0.62020000	0.00210073
0.60605000	0.00210182
0.59190000	0.00210304
0.57780000	0.00210433
0.56365000	0.00210665
0.54950000	0.00210623
0.53535000	0.00210852
0.52120000	0.00210814
0.50705000	0.00210801
0.49295000	0.00210854
0.47880000	0.00210895
0.46465000	0.00210784
0.45050000	0.00210862
0.43635000	0.00210849
0.42220000	0.00210896
0.40810000	0.00211010
0.39395000	0.00211037
0.37980000	0.00211134
0.36565000	0.00211116
0.35150000	0.00211139
0.33735000	0.00211112
0.32325000	0.00211176
0.30910000	0.00211206
0.29495000	0.00211147
0.28080000	0.00211099
0.26665000	0.00211111
0.25250000	0.00211076
0.23840000	0.00211025
0.22425000	0.00211146
0.21010000	0.00211038
0.19595000	0.00211107
0.18180000	0.00211056
0.16770000	0.00211063
0.15355000	0.00211192
0.13940000	0.00211169
0.12525000	0.00211245
0.11110000	0.00211175
0.09695000	0.00211212
0.08285000	0.00211272
0.06870000	0.00211173
0.05455000	0.00211324
0.04040000	0.00211172
0.02625000	0.00211362
0.01210000	0.00211387
-0.00200000	0.00211422
-0.01615000	0.00211442
-0.03030000	0.00211467
-0.04445000	0.00211486
-0.05860000	0.00211502
-0.07275000	0.00211527
-0.08685000	0.00211454
-0.10100000	0.00211430
-0.11515000	0.00211557
-0.12930000	0.00211508
-0.14345000	0.00211491
-0.15760000	0.00211343
-0.17170000	0.00211475
-0.18585000	0.00211326
-0.20000000	0.00211454
