Device Id	Operator	Recipe
3	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09008097	0.00218949	24.32765182	0.00202375	0.90150009	1.82440699	76.4399	20.2712	46.642268	40256.374	0.00221226	NaN	NaN	NaN	9.922	18:22:02	01/10/2021

Vmeas	Imeas
1.20000000	-0.00320580
1.18585000	-0.00249777
1.17170000	-0.00220344
1.15760000	-0.00179867
1.14345000	-0.00137620
1.12930000	-0.00098497
1.11515000	-0.00059784
1.10100000	-0.00023759
1.08685000	0.00007652
1.07275000	0.00036781
1.05860000	0.00065823
1.04445000	0.00090543
1.03030000	0.00109774
1.01615000	0.00129904
1.00200000	0.00146419
0.98790000	0.00159928
0.97375000	0.00171043
0.95960000	0.00180524
0.94545000	0.00187934
0.93130000	0.00193702
0.91715000	0.00198374
0.90305000	0.00201924
0.88890000	0.00204909
0.87475000	0.00207060
0.86060000	0.00209031
0.84645000	0.00210610
0.83230000	0.00211719
0.81820000	0.00212649
0.80405000	0.00213165
0.78990000	0.00213974
0.77575000	0.00214609
0.76160000	0.00215196
0.74745000	0.00215956
0.73335000	0.00216244
0.71920000	0.00216786
0.70505000	0.00217089
0.69090000	0.00217443
0.67675000	0.00217839
0.66265000	0.00217960
0.64850000	0.00218145
0.63435000	0.00218310
0.62020000	0.00218519
0.60605000	0.00218419
0.59190000	0.00218718
0.57780000	0.00218737
0.56365000	0.00219046
0.54950000	0.00218968
0.53535000	0.00219123
0.52120000	0.00218826
0.50705000	0.00218660
0.49295000	0.00218654
0.47880000	0.00218670
0.46465000	0.00218596
0.45050000	0.00218412
0.43635000	0.00218544
0.42220000	0.00218689
0.40810000	0.00218741
0.39395000	0.00218512
0.37980000	0.00218809
0.36565000	0.00218745
0.35150000	0.00218988
0.33735000	0.00218693
0.32325000	0.00218619
0.30910000	0.00218034
0.29495000	0.00218014
0.28080000	0.00218055
0.26665000	0.00218008
0.25250000	0.00218349
0.23840000	0.00218443
0.22425000	0.00218509
0.21010000	0.00218327
0.19595000	0.00218329
0.18180000	0.00218197
0.16770000	0.00218375
0.15355000	0.00218561
0.13940000	0.00218415
0.12525000	0.00218653
0.11110000	0.00218794
0.09695000	0.00218752
0.08285000	0.00218778
0.06870000	0.00218802
0.05455000	0.00218850
0.04040000	0.00219118
0.02625000	0.00219150
0.01210000	0.00219207
-0.00200000	0.00219220
-0.01615000	0.00219140
-0.03030000	0.00219143
-0.04445000	0.00219202
-0.05860000	0.00219169
-0.07275000	0.00219121
-0.08685000	0.00219241
-0.10100000	0.00219052
-0.11515000	0.00219321
-0.12930000	0.00219306
-0.14345000	0.00219237
-0.15760000	0.00219172
-0.17170000	0.00219138
-0.18585000	0.00219239
-0.20000000	0.00219200
