Device Id	Operator	Recipe
9	Unknown	YE JIAJIU.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	1.0000	1	1.2500	-0.2000	75	20	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09866133	0.00188510	23.56376454	0.00171213	0.92836363	1.58947509	76.7459	19.8684	33.898886	50673.719	0.00192917	NaN	NaN	NaN	8.641	16:01:09	12/12/2020

Vmeas	Imeas
1.25000000	-0.00717238
1.23040000	-0.00611560
1.21080000	-0.00498489
1.19120000	-0.00387768
1.17160000	-0.00284338
1.15205000	-0.00190880
1.13245000	-0.00108734
1.11285000	-0.00041856
1.09325000	0.00015963
1.07365000	0.00060956
1.05405000	0.00094590
1.03445000	0.00116081
1.01485000	0.00135361
0.99525000	0.00148734
0.97570000	0.00157864
0.95610000	0.00164736
0.93650000	0.00169632
0.91690000	0.00173224
0.89730000	0.00175732
0.87770000	0.00177920
0.85810000	0.00179514
0.83850000	0.00180757
0.81890000	0.00181886
0.79930000	0.00182668
0.77975000	0.00183340
0.76015000	0.00183784
0.74055000	0.00184256
0.72095000	0.00184532
0.70135000	0.00184845
0.68175000	0.00185195
0.66215000	0.00185462
0.64255000	0.00185583
0.62295000	0.00185891
0.60340000	0.00186105
0.58380000	0.00186274
0.56420000	0.00186488
0.54460000	0.00186694
0.52500000	0.00186765
0.50540000	0.00186959
0.48580000	0.00187041
0.46620000	0.00187188
0.44660000	0.00187200
0.42705000	0.00187221
0.40745000	0.00187443
0.38785000	0.00187437
0.36825000	0.00187577
0.34865000	0.00187708
0.32905000	0.00187627
0.30945000	0.00187763
0.28985000	0.00187863
0.27025000	0.00187816
0.25070000	0.00188055
0.23110000	0.00188140
0.21150000	0.00187981
0.19190000	0.00188134
0.17230000	0.00188092
0.15270000	0.00188251
0.13310000	0.00188502
0.11350000	0.00188498
0.09390000	0.00188493
0.07430000	0.00188515
0.05475000	0.00188440
0.03515000	0.00188615
0.01555000	0.00188577
-0.00405000	0.00188479
-0.02365000	0.00188599
-0.04325000	0.00188649
-0.06285000	0.00188700
-0.08245000	0.00188672
-0.10205000	0.00188664
-0.12160000	0.00188661
-0.14120000	0.00188677
-0.16080000	0.00188838
-0.18040000	0.00188745
-0.20000000	0.00188673
