Device Id	Operator	Recipe
10	Unknown	YE JIAJIU.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	1.0000	1	1.2500	-0.2000	75	20	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.07521620	0.00192706	24.08825374	0.00174628	0.90421804	1.57901895	76.2072	19.7377	38.744064	26155.798	0.00191536	NaN	NaN	NaN	8.906	16:02:10	12/12/2020

Vmeas	Imeas
1.25000000	-0.00584732
1.23040000	-0.00529447
1.21080000	-0.00459850
1.19120000	-0.00385232
1.17160000	-0.00310003
1.15205000	-0.00237118
1.13245000	-0.00167823
1.11285000	-0.00103906
1.09325000	-0.00046546
1.07365000	0.00004042
1.05405000	0.00046928
1.03445000	0.00083549
1.01485000	0.00108553
0.99525000	0.00131102
0.97570000	0.00147003
0.95610000	0.00158330
0.93650000	0.00166234
0.91690000	0.00171922
0.89730000	0.00175820
0.87770000	0.00178812
0.85810000	0.00180938
0.83850000	0.00182607
0.81890000	0.00183902
0.79930000	0.00184980
0.77975000	0.00185680
0.76015000	0.00186275
0.74055000	0.00187002
0.72095000	0.00187388
0.70135000	0.00187912
0.68175000	0.00188378
0.66215000	0.00188528
0.64255000	0.00188672
0.62295000	0.00188938
0.60340000	0.00189113
0.58380000	0.00189218
0.56420000	0.00189443
0.54460000	0.00189580
0.52500000	0.00189760
0.50540000	0.00190015
0.48580000	0.00190078
0.46620000	0.00190278
0.44660000	0.00190397
0.42705000	0.00190603
0.40745000	0.00190722
0.38785000	0.00190887
0.36825000	0.00191064
0.34865000	0.00191051
0.32905000	0.00191197
0.30945000	0.00191365
0.28985000	0.00191604
0.27025000	0.00191750
0.25070000	0.00191742
0.23110000	0.00191875
0.21150000	0.00191997
0.19190000	0.00192042
0.17230000	0.00192012
0.15270000	0.00192067
0.13310000	0.00192046
0.11350000	0.00192221
0.09390000	0.00192307
0.07430000	0.00192436
0.05475000	0.00192579
0.03515000	0.00192616
0.01555000	0.00192719
-0.00405000	0.00192852
-0.02365000	0.00192880
-0.04325000	0.00192777
-0.06285000	0.00192894
-0.08245000	0.00192987
-0.10205000	0.00193093
-0.12160000	0.00193164
-0.14120000	0.00193243
-0.16080000	0.00193293
-0.18040000	0.00193408
-0.20000000	0.00193444
