Device Id	Operator	Recipe
4	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09161537	0.00209595	23.28835974	0.00194831	0.91738146	1.78734539	78.1191	19.8594	37.392088	69148.817	0.00213722	NaN	NaN	NaN	9.687	18:12:46	01/10/2021

Vmeas	Imeas
1.20000000	-0.00377745
1.18585000	-0.00320262
1.17170000	-0.00263992
1.15760000	-0.00210041
1.14345000	-0.00158780
1.12930000	-0.00110510
1.11515000	-0.00067486
1.10100000	-0.00025098
1.08685000	0.00012744
1.07275000	0.00046374
1.05860000	0.00075829
1.04445000	0.00101085
1.03030000	0.00118481
1.01615000	0.00137762
1.00200000	0.00152535
0.98790000	0.00164475
0.97375000	0.00173797
0.95960000	0.00181127
0.94545000	0.00187141
0.93130000	0.00191530
0.91715000	0.00194919
0.90305000	0.00197447
0.88890000	0.00199484
0.87475000	0.00201130
0.86060000	0.00202364
0.84645000	0.00203387
0.83230000	0.00204221
0.81820000	0.00204931
0.80405000	0.00205572
0.78990000	0.00206004
0.77575000	0.00206231
0.76160000	0.00206741
0.74745000	0.00206996
0.73335000	0.00207221
0.71920000	0.00207497
0.70505000	0.00207508
0.69090000	0.00207726
0.67675000	0.00207672
0.66265000	0.00207834
0.64850000	0.00207975
0.63435000	0.00207988
0.62020000	0.00208094
0.60605000	0.00208205
0.59190000	0.00208231
0.57780000	0.00208365
0.56365000	0.00208547
0.54950000	0.00208699
0.53535000	0.00208875
0.52120000	0.00208783
0.50705000	0.00208804
0.49295000	0.00208811
0.47880000	0.00208792
0.46465000	0.00208773
0.45050000	0.00208853
0.43635000	0.00208873
0.42220000	0.00208808
0.40810000	0.00208928
0.39395000	0.00208855
0.37980000	0.00208780
0.36565000	0.00208840
0.35150000	0.00208955
0.33735000	0.00208841
0.32325000	0.00208865
0.30910000	0.00208933
0.29495000	0.00208952
0.28080000	0.00209059
0.26665000	0.00209061
0.25250000	0.00209064
0.23840000	0.00209193
0.22425000	0.00209251
0.21010000	0.00209287
0.19595000	0.00209423
0.18180000	0.00209550
0.16770000	0.00209565
0.15355000	0.00209399
0.13940000	0.00209482
0.12525000	0.00209584
0.11110000	0.00209634
0.09695000	0.00209711
0.08285000	0.00209678
0.06870000	0.00209641
0.05455000	0.00209580
0.04040000	0.00209738
0.02625000	0.00209692
0.01210000	0.00209714
-0.00200000	0.00209707
-0.01615000	0.00209671
-0.03030000	0.00209640
-0.04445000	0.00209599
-0.05860000	0.00209565
-0.07275000	0.00209545
-0.08685000	0.00209581
-0.10100000	0.00209626
-0.11515000	0.00209671
-0.12930000	0.00209638
-0.14345000	0.00209853
-0.15760000	0.00209737
-0.17170000	0.00209836
-0.18585000	0.00209761
-0.20000000	0.00209744
