Device Id	Operator	Recipe
30	Unknown	scw.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.086400	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.08804055	0.00192447	22.27394075	0.00170090	0.92388181	1.57142907	75.0480	18.1878	37.082901	23789.407	0.00193219	NaN	NaN	NaN	5.984	20:19:50	12/01/2020

Vmeas	Imeas
1.20000000	-0.00556395
1.17345000	-0.00387931
1.14695000	-0.00236276
1.12040000	-0.00110235
1.09390000	-0.00015801
1.06735000	0.00055795
1.04080000	0.00102413
1.01430000	0.00127547
0.98775000	0.00148788
0.96120000	0.00160605
0.93470000	0.00167842
0.90815000	0.00172606
0.88165000	0.00175959
0.85510000	0.00178232
0.82855000	0.00180094
0.80205000	0.00181584
0.77550000	0.00183009
0.74900000	0.00184082
0.72245000	0.00185169
0.69590000	0.00185961
0.66940000	0.00186412
0.64285000	0.00187151
0.61635000	0.00187526
0.58980000	0.00188172
0.56325000	0.00188820
0.53675000	0.00189216
0.51020000	0.00189335
0.48365000	0.00189601
0.45715000	0.00190013
0.43060000	0.00190177
0.40410000	0.00190369
0.37755000	0.00190651
0.35100000	0.00190849
0.32450000	0.00190915
0.29795000	0.00191132
0.27145000	0.00191326
0.24490000	0.00191529
0.21835000	0.00191704
0.19185000	0.00191597
0.16530000	0.00191758
0.13880000	0.00191770
0.11225000	0.00191955
0.08570000	0.00192169
0.05920000	0.00192171
0.03265000	0.00192383
0.00610000	0.00192444
-0.02040000	0.00192736
-0.04695000	0.00192543
-0.07345000	0.00192706
-0.10000000	0.00192740
