Device Id	Operator	Recipe
21	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.05019984	0.00200287	22.25407751	0.00187526	0.87359557	1.63822295	77.8841	18.2025	48.366840	48717.818	0.00194970	NaN	NaN	NaN	5.984	17:31:50	01/10/2021

Vmeas	Imeas
1.20000000	-0.00363192
1.17345000	-0.00299409
1.14695000	-0.00229378
1.12040000	-0.00160018
1.09390000	-0.00095448
1.06735000	-0.00035458
1.04080000	0.00019434
1.01430000	0.00067904
0.98775000	0.00106010
0.96120000	0.00138284
0.93470000	0.00161510
0.90815000	0.00176665
0.88165000	0.00185635
0.85510000	0.00190770
0.82855000	0.00193733
0.80205000	0.00195406
0.77550000	0.00196357
0.74900000	0.00197137
0.72245000	0.00197501
0.69590000	0.00197890
0.66940000	0.00198101
0.64285000	0.00198435
0.61635000	0.00198551
0.58980000	0.00198564
0.56325000	0.00198761
0.53675000	0.00198733
0.51020000	0.00199035
0.48365000	0.00199074
0.45715000	0.00199053
0.43060000	0.00199196
0.40410000	0.00199301
0.37755000	0.00199315
0.35100000	0.00199421
0.32450000	0.00199579
0.29795000	0.00199507
0.27145000	0.00199766
0.24490000	0.00199777
0.21835000	0.00199813
0.19185000	0.00199848
0.16530000	0.00200170
0.13880000	0.00200166
0.11225000	0.00200185
0.08570000	0.00200097
0.05920000	0.00200155
0.03265000	0.00200125
0.00610000	0.00200068
-0.02040000	0.00200236
-0.04695000	0.00200274
-0.07345000	0.00200547
-0.10000000	0.00200601
