Device Id	Operator	Recipe
2	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.10227988	0.00213984	23.77602382	0.00197910	0.91886834	1.81853241	77.0988	20.2059	43.186856	113934.143	0.00218820	NaN	NaN	NaN	9.937	18:20:59	01/10/2021

Vmeas	Imeas
1.20000000	-0.00304282
1.18585000	-0.00251177
1.17170000	-0.00201346
1.15760000	-0.00154315
1.14345000	-0.00109997
1.12930000	-0.00069718
1.11515000	-0.00030240
1.10100000	0.00003881
1.08685000	0.00035250
1.07275000	0.00065375
1.05860000	0.00091085
1.04445000	0.00111296
1.03030000	0.00131061
1.01615000	0.00146973
1.00200000	0.00159592
0.98790000	0.00169960
0.97375000	0.00178400
0.95960000	0.00185391
0.94545000	0.00190726
0.93130000	0.00194897
0.91715000	0.00198295
0.90305000	0.00200819
0.88890000	0.00202863
0.87475000	0.00204241
0.86060000	0.00205864
0.84645000	0.00206990
0.83230000	0.00207607
0.81820000	0.00207543
0.80405000	0.00208261
0.78990000	0.00208728
0.77575000	0.00209185
0.76160000	0.00209684
0.74745000	0.00209897
0.73335000	0.00209868
0.71920000	0.00210087
0.70505000	0.00210251
0.69090000	0.00210710
0.67675000	0.00211052
0.66265000	0.00210882
0.64850000	0.00211158
0.63435000	0.00211241
0.62020000	0.00211416
0.60605000	0.00211479
0.59190000	0.00211500
0.57780000	0.00211686
0.56365000	0.00211267
0.54950000	0.00211230
0.53535000	0.00211321
0.52120000	0.00211553
0.50705000	0.00211260
0.49295000	0.00211612
0.47880000	0.00211598
0.46465000	0.00211675
0.45050000	0.00211930
0.43635000	0.00212269
0.42220000	0.00212518
0.40810000	0.00212441
0.39395000	0.00212635
0.37980000	0.00212774
0.36565000	0.00213037
0.35150000	0.00213089
0.33735000	0.00213392
0.32325000	0.00213539
0.30910000	0.00213680
0.29495000	0.00213681
0.28080000	0.00213734
0.26665000	0.00213741
0.25250000	0.00213621
0.23840000	0.00213809
0.22425000	0.00213721
0.21010000	0.00213760
0.19595000	0.00213663
0.18180000	0.00213746
0.16770000	0.00213749
0.15355000	0.00213802
0.13940000	0.00213714
0.12525000	0.00214010
0.11110000	0.00214028
0.09695000	0.00213865
0.08285000	0.00214044
0.06870000	0.00213968
0.05455000	0.00214040
0.04040000	0.00214068
0.02625000	0.00213999
0.01210000	0.00214111
-0.00200000	0.00214192
-0.01615000	0.00214309
-0.03030000	0.00214191
-0.04445000	0.00214308
-0.05860000	0.00214383
-0.07275000	0.00214300
-0.08685000	0.00214122
-0.10100000	0.00214043
-0.11515000	0.00213920
-0.12930000	0.00213747
-0.14345000	0.00213844
-0.15760000	0.00213982
-0.17170000	0.00214057
-0.18585000	0.00213858
-0.20000000	0.00213996
