Device Id	Operator	Recipe
18	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.06176867	0.00200164	22.24049449	0.00186318	0.87812125	1.63610190	76.9828	18.1789	54.191382	75281.407	0.00196196	NaN	NaN	NaN	6.000	17:24:56	01/10/2021

Vmeas	Imeas
1.20000000	-0.00296429
1.17345000	-0.00242350
1.14695000	-0.00182893
1.12040000	-0.00122299
1.09390000	-0.00064385
1.06735000	-0.00010299
1.04080000	0.00038694
1.01430000	0.00081458
0.98775000	0.00115307
0.96120000	0.00143905
0.93470000	0.00164230
0.90815000	0.00177642
0.88165000	0.00185535
0.85510000	0.00190213
0.82855000	0.00193121
0.80205000	0.00194849
0.77550000	0.00195611
0.74900000	0.00196311
0.72245000	0.00196802
0.69590000	0.00197003
0.66940000	0.00197444
0.64285000	0.00197494
0.61635000	0.00197643
0.58980000	0.00198058
0.56325000	0.00198285
0.53675000	0.00198698
0.51020000	0.00198927
0.48365000	0.00199139
0.45715000	0.00199299
0.43060000	0.00199250
0.40410000	0.00199532
0.37755000	0.00199576
0.35100000	0.00199655
0.32450000	0.00199637
0.29795000	0.00199588
0.27145000	0.00199755
0.24490000	0.00199850
0.21835000	0.00199859
0.19185000	0.00199964
0.16530000	0.00200056
0.13880000	0.00200061
0.11225000	0.00200036
0.08570000	0.00200156
0.05920000	0.00200056
0.03265000	0.00200236
0.00610000	0.00200115
-0.02040000	0.00200210
-0.04695000	0.00200168
-0.07345000	0.00200194
-0.10000000	0.00200224
