Device Id	Operator	Recipe
5	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.08101916	0.00213797	23.75519079	0.00196686	0.90071949	1.77158759	76.6528	19.6843	40.441634	76763.431	0.00214504	NaN	NaN	NaN	9.687	18:13:45	01/10/2021

Vmeas	Imeas
1.20000000	-0.00400654
1.18585000	-0.00343653
1.17170000	-0.00288886
1.15760000	-0.00236653
1.14345000	-0.00186631
1.12930000	-0.00139080
1.11515000	-0.00095589
1.10100000	-0.00053074
1.08685000	-0.00014418
1.07275000	0.00020447
1.05860000	0.00051876
1.04445000	0.00079524
1.03030000	0.00103356
1.01615000	0.00121185
1.00200000	0.00139211
0.98790000	0.00153715
0.97375000	0.00165306
0.95960000	0.00174715
0.94545000	0.00182234
0.93130000	0.00188086
0.91715000	0.00192568
0.90305000	0.00196103
0.88890000	0.00199174
0.87475000	0.00201272
0.86060000	0.00203011
0.84645000	0.00204757
0.83230000	0.00205937
0.81820000	0.00207027
0.80405000	0.00207779
0.78990000	0.00208708
0.77575000	0.00208999
0.76160000	0.00209482
0.74745000	0.00209831
0.73335000	0.00210325
0.71920000	0.00210552
0.70505000	0.00210848
0.69090000	0.00210868
0.67675000	0.00211116
0.66265000	0.00211372
0.64850000	0.00211524
0.63435000	0.00211580
0.62020000	0.00211734
0.60605000	0.00211762
0.59190000	0.00211661
0.57780000	0.00212072
0.56365000	0.00212145
0.54950000	0.00212131
0.53535000	0.00212221
0.52120000	0.00212476
0.50705000	0.00212468
0.49295000	0.00212532
0.47880000	0.00212564
0.46465000	0.00212533
0.45050000	0.00212421
0.43635000	0.00212452
0.42220000	0.00212744
0.40810000	0.00212697
0.39395000	0.00212825
0.37980000	0.00212658
0.36565000	0.00212971
0.35150000	0.00213194
0.33735000	0.00213283
0.32325000	0.00213229
0.30910000	0.00213264
0.29495000	0.00213226
0.28080000	0.00213451
0.26665000	0.00213754
0.25250000	0.00213678
0.23840000	0.00213690
0.22425000	0.00213467
0.21010000	0.00213364
0.19595000	0.00213480
0.18180000	0.00213636
0.16770000	0.00213426
0.15355000	0.00213587
0.13940000	0.00213591
0.12525000	0.00213669
0.11110000	0.00213489
0.09695000	0.00213613
0.08285000	0.00213701
0.06870000	0.00213684
0.05455000	0.00213784
0.04040000	0.00213875
0.02625000	0.00213772
0.01210000	0.00213753
-0.00200000	0.00214036
-0.01615000	0.00213850
-0.03030000	0.00213939
-0.04445000	0.00213900
-0.05860000	0.00213747
-0.07275000	0.00213854
-0.08685000	0.00213926
-0.10100000	0.00213946
-0.11515000	0.00214016
-0.12930000	0.00214042
-0.14345000	0.00213895
-0.15760000	0.00214018
-0.17170000	0.00213834
-0.18585000	0.00214037
-0.20000000	0.00214004
