Device Id	Operator	Recipe
12	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09128629	0.00214746	23.86070334	0.00198408	0.91655999	1.81852782	77.5989	20.2059	43.153756	12905263.725	0.00217794	NaN	NaN	NaN	9.703	20:07:19	01/31/2021

Vmeas	Imeas
1.20000000	-0.00306732
1.18585000	-0.00262950
1.17170000	-0.00219796
1.15760000	-0.00177551
1.14345000	-0.00136661
1.12930000	-0.00097357
1.11515000	-0.00058868
1.10100000	-0.00022909
1.08685000	0.00011113
1.07275000	0.00042521
1.05860000	0.00071164
1.04445000	0.00096742
1.03030000	0.00117008
1.01615000	0.00136557
1.00200000	0.00153063
0.98790000	0.00166151
0.97375000	0.00176384
0.95960000	0.00184176
0.94545000	0.00190177
0.93130000	0.00194677
0.91715000	0.00198330
0.90305000	0.00201002
0.88890000	0.00203213
0.87475000	0.00204826
0.86060000	0.00206304
0.84645000	0.00207347
0.83230000	0.00208360
0.81820000	0.00208960
0.80405000	0.00209372
0.78990000	0.00209855
0.77575000	0.00210057
0.76160000	0.00210295
0.74745000	0.00210514
0.73335000	0.00210431
0.71920000	0.00210783
0.70505000	0.00211146
0.69090000	0.00211248
0.67675000	0.00211186
0.66265000	0.00211261
0.64850000	0.00211386
0.63435000	0.00211592
0.62020000	0.00211399
0.60605000	0.00211994
0.59190000	0.00212258
0.57780000	0.00212254
0.56365000	0.00212377
0.54950000	0.00212639
0.53535000	0.00212815
0.52120000	0.00213079
0.50705000	0.00212983
0.49295000	0.00213171
0.47880000	0.00213106
0.46465000	0.00213152
0.45050000	0.00213188
0.43635000	0.00212983
0.42220000	0.00213161
0.40810000	0.00213145
0.39395000	0.00213234
0.37980000	0.00213263
0.36565000	0.00213412
0.35150000	0.00213155
0.33735000	0.00213019
0.32325000	0.00213085
0.30910000	0.00213079
0.29495000	0.00213083
0.28080000	0.00214119
0.26665000	0.00214842
0.25250000	0.00215392
0.23840000	0.00215458
0.22425000	0.00215540
0.21010000	0.00215538
0.19595000	0.00215590
0.18180000	0.00215498
0.16770000	0.00215561
0.15355000	0.00215385
0.13940000	0.00215343
0.12525000	0.00215052
0.11110000	0.00214928
0.09695000	0.00215033
0.08285000	0.00215123
0.06870000	0.00214962
0.05455000	0.00214779
0.04040000	0.00214657
0.02625000	0.00214558
0.01210000	0.00214623
-0.00200000	0.00214596
-0.01615000	0.00214748
-0.03030000	0.00214699
-0.04445000	0.00214783
-0.05860000	0.00214692
-0.07275000	0.00214496
-0.08685000	0.00214609
-0.10100000	0.00214682
-0.11515000	0.00214519
-0.12930000	0.00214639
-0.14345000	0.00214592
-0.15760000	0.00214411
-0.17170000	0.00214546
-0.18585000	0.00214580
-0.20000000	0.00214525
